Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2016,India,Punjab,Sugarcane,9.27,2629.49,23.47,0.963,7,19.8,29.04,63.04,68.18,Crop Rotation,103.19
2008,India,Punjab,Fruits,13.19,2930.72,5.36,4.19,3,84.08,42.76,71.62,68.75,Organic Farming,1634.89
1997,India,Tamil Nadu,Vegetables,17.27,228.63,14.13,1.818,0,89.59,15.27,41.38,59.71,Organic Farming,274.27
1990,India,Punjab,Fruits,4.03,1349.95,27.77,2.574,10,50.86,39.44,1.46,97.34,No Adaptation,616.9
2022,India,Tamil Nadu,Cotton,3.45,2619.47,16.78,1.872,3,84.51,26.29,86.91,37.36,Drought-resistant Crops,865.5
2004,India,Punjab,Sugarcane,28.43,1061.32,25.73,2.682,7,96.47,7.08,16.16,73.07,Crop Rotation,1214.37
2018,India,West Bengal,Corn,5.72,531.85,17.21,0.756,2,15.04,45.06,87.65,70,Organic Farming,289.95
2009,India,West Bengal,Vegetables,18.01,486.74,1.33,4.374,3,49.01,45.33,11.9,99.89,Crop Rotation,756.13
2016,India,West Bengal,Sugarcane,-0.54,2013.52,8.9,1.4,1,74.06,43.14,58.31,68.26,Drought-resistant Crops,316.21
2004,India,Punjab,Vegetables,-0.98,1623.89,16.14,2.07,6,57.73,7.48,9.04,61.82,No Adaptation,603.38
1994,India,Tamil Nadu,Fruits,28.3,986.53,7.91,3.83,3,36.39,4.83,60.58,94.9,Drought-resistant Crops,962.81
2004,India,Maharashtra,Rice,9.04,1281.09,24.7,1.107,0,57.57,23.22,15.12,51.76,Drought-resistant Crops,143.93
2004,India,Tamil Nadu,Soybeans,8.09,1601.79,17.75,1.17,4,44.73,10.57,76.43,65.59,No Adaptation,513.16
2015,India,Maharashtra,Coffee,33.44,1226.15,12.77,2.24,0,86.2,41.95,21.02,34.47,Organic Farming,838.48
2007,India,West Bengal,Vegetables,28.59,846.91,11.74,2.54,5,36.31,40.27,92.94,91.75,Water Management,1082.68
2002,India,Tamil Nadu,Sugarcane,1.83,2087.3,4.4,1.27,2,14.85,20.13,58.12,40.68,Organic Farming,604.9
1995,India,West Bengal,Coffee,8.13,1353.96,14.63,0.83,8,56.82,11.74,68.38,32.56,Crop Rotation,139.59
2009,India,West Bengal,Coffee,0.53,1456.08,29.74,1.773,3,66.24,21.02,46.81,57.96,Water Management,490.28
2019,India,West Bengal,Soybeans,29.67,2497.49,8.29,2.11,9,15.8,5.33,55.46,33.95,Organic Farming,782.78
2023,India,Maharashtra,Fruits,10.07,208.52,22.19,4.41,8,78.27,48.51,37.26,61.69,Drought-resistant Crops,1641.59
2012,India,Punjab,Coffee,-1.96,1940.66,5.09,2.59,3,68.78,27.28,74.16,35.75,Organic Farming,348.17
2019,India,Punjab,Soybeans,5.7,1318.49,3.29,1.13,1,17.72,19.35,76.86,49.79,Organic Farming,319.93
1993,India,Tamil Nadu,Fruits,32.57,1713.63,19.37,1.818,5,83.29,31.92,40.59,31.56,Crop Rotation,878.84
2014,India,Tamil Nadu,Coffee,-4.42,1849.07,25.47,0.558,1,98.65,42.74,71.53,38.49,Drought-resistant Crops,108.18
2003,India,West Bengal,Rice,28.42,1242.23,28.35,0.801,2,73.2,17.99,37.13,60.41,No Adaptation,138.23
2009,India,West Bengal,Soybeans,17.65,2822.76,23.07,2.619,6,55.65,43.7,9.74,93.93,Organic Farming,732.27
2023,India,West Bengal,Wheat,18.85,940.87,13.48,3.4,8,51.82,16.11,98.78,82.79,Crop Rotation,1308.96
2012,India,Punjab,Cotton,12.14,556.74,23.98,2.61,2,98.87,26.45,14.49,89.18,Drought-resistant Crops,992.23
1998,India,Tamil Nadu,Barley,5.42,785.75,28.74,1.359,4,86.04,7.63,84.02,60.49,No Adaptation,532.63
1998,India,Maharashtra,Soybeans,-4.09,1348.17,12.9,2.62,3,90.93,5.95,63.87,74.81,Drought-resistant Crops,1146.31
2019,India,West Bengal,Sugarcane,13.24,2983.14,23.58,2.961,1,93.36,4.88,60.67,91.45,Water Management,1448.46
2016,India,Maharashtra,Vegetables,30.97,280.45,13.03,2.943,4,93.02,40.35,50.43,76.94,Organic Farming,1283.59
2013,India,Maharashtra,Wheat,14.89,1207.16,28.2,4.383,7,63.54,24.53,93.74,37.54,No Adaptation,1697.7
2018,India,Punjab,Barley,30.42,343.31,2.53,2.916,5,55.08,23.02,3.75,93.5,Drought-resistant Crops,736.75
2004,India,West Bengal,Sugarcane,-2.11,2745.97,10.43,1.98,5,40.63,1.52,40.27,76.29,Water Management,595.18
2009,India,Maharashtra,Coffee,-0.69,981.48,10.53,2.88,2,72.97,26.51,8.29,80.32,Crop Rotation,1326.72
2012,India,West Bengal,Wheat,6.44,658.76,3.33,1.89,6,89.77,28.16,76.25,32.67,Water Management,706.82
2006,India,Maharashtra,Corn,-2.54,969.31,28.07,1.35,6,53.62,41.2,6.83,94.82,No Adaptation,401.38
1991,India,Maharashtra,Coffee,2.91,2060.12,15.07,1.503,2,87.1,6.97,38.14,87.96,Drought-resistant Crops,495.34
2005,India,Tamil Nadu,Corn,28.62,1932.1,12.48,2.78,8,38.87,45.46,8.55,62.22,Water Management,823.74
2002,India,West Bengal,Wheat,28.57,1218.99,9.92,2.91,0,70.67,38.53,37.27,82.58,Crop Rotation,759.5
2024,India,Tamil Nadu,Corn,2.13,444.26,23.37,1.161,4,31.56,17.83,56.15,31.52,No Adaptation,415.08
1991,India,Tamil Nadu,Rice,-0.43,2446.45,20.86,1.125,4,19.32,41.25,0.65,88.14,No Adaptation,300.21
1999,India,Maharashtra,Barley,8.64,1782.71,28.13,1.89,3,65.82,17.28,98.62,71.67,Water Management,254.85
2004,India,Punjab,Corn,20.25,1114.17,10.42,2.96,2,75.57,33.73,53.98,39.99,No Adaptation,837.51
1993,India,Maharashtra,Wheat,25.3,1887.02,11.23,3.13,7,83.46,31.79,59.05,81.58,No Adaptation,907.44
1992,India,Tamil Nadu,Corn,7.64,291.26,15.81,1.341,7,47.6,31.99,34.2,36.73,Drought-resistant Crops,539.92
2000,India,Maharashtra,Barley,15.67,2611.9,25.73,2.853,1,83.24,34.48,26.28,79.49,Water Management,1154.63
1999,India,Tamil Nadu,Fruits,6.79,2631.52,9.51,0.93,3,75.8,47.41,31.76,88.09,No Adaptation,263.3
2006,India,West Bengal,Sugarcane,13.16,517.64,0.99,3.66,3,40.71,42.69,85.93,95.3,Organic Farming,1490.33
2012,India,Punjab,Rice,25.69,498.12,4.53,1.881,7,43.35,46.33,69.12,74.12,Organic Farming,371.67
1994,India,West Bengal,Wheat,17.12,1281.54,11.75,3.46,9,79.41,13.57,2.4,90.57,Drought-resistant Crops,1490.34
1996,India,Punjab,Barley,30.32,2791.25,25.9,2.934,10,78.78,33.65,45.58,61.64,Organic Farming,570.95
2006,India,Tamil Nadu,Coffee,25.38,2314.99,3.33,2.23,8,48.41,25.05,6.07,91.23,No Adaptation,817.4
2013,India,West Bengal,Corn,23.41,407.33,18.2,3.321,9,12.74,31.89,15.07,80.34,Organic Farming,985.01
2000,India,West Bengal,Fruits,22.16,316.52,25.63,3.348,3,81.08,21.57,30.37,98.8,No Adaptation,1436.34
2018,India,Punjab,Wheat,17.58,1386.27,15.18,1.71,4,27.88,20.06,80.82,55.83,Drought-resistant Crops,556.62
2023,India,Tamil Nadu,Corn,18.08,2174.88,21.05,3.618,1,73.44,31.02,20.04,92.14,Crop Rotation,1616.29
2003,India,Tamil Nadu,Wheat,22.66,2226.29,22.66,3.042,3,33.03,4.25,32.88,99.23,No Adaptation,910.12
1996,India,Punjab,Soybeans,5.61,2298.02,6.46,2.35,1,52.3,26.1,14.73,92.55,Crop Rotation,1075.04
2000,India,Maharashtra,Fruits,-4.12,1921.42,15.08,1.827,7,41.92,32.54,65.8,96.07,Crop Rotation,303.19
2020,India,Maharashtra,Barley,23.65,2580.3,17.4,3.258,1,95.55,13.58,9.64,81.18,Crop Rotation,1322.3
2000,India,Punjab,Soybeans,31.2,1129.09,16.2,0.837,4,30.9,0.93,93.8,60.87,Organic Farming,183.03
2024,India,Maharashtra,Coffee,4.35,2974.72,18.12,1.296,0,51.18,15.46,30.49,41.25,Water Management,396.57
2014,India,Tamil Nadu,Fruits,2.82,2119.19,8.15,1,9,93.06,32.44,46.11,64.95,Crop Rotation,271.6
2007,India,West Bengal,Barley,32.25,542.46,12.8,2.47,1,21.42,19.3,83.54,51.7,Water Management,314.14
2003,India,Maharashtra,Fruits,13.61,2241.16,14.08,4.21,6,76.15,20.28,55.97,99.8,Drought-resistant Crops,1900.17
2013,India,Tamil Nadu,Soybeans,22.32,983.14,16.23,1.143,3,37.64,35.35,1.68,38.95,Water Management,179.64
1990,India,West Bengal,Sugarcane,7.86,2139.98,6.07,2.26,0,29.71,12.22,6.32,95.16,Organic Farming,350.06
2014,India,West Bengal,Coffee,10.39,1321.22,7.48,3.17,6,25.43,40.03,32.47,63.84,Water Management,1505.38
1991,India,Tamil Nadu,Corn,30.21,1962.73,1.37,1.43,1,40.04,13.87,48.67,51.29,Drought-resistant Crops,678.75
2000,India,Punjab,Barley,-3.32,2642.21,22.59,1.17,2,17.1,39.76,46.24,92.19,Drought-resistant Crops,311.47
2016,India,Punjab,Vegetables,28.58,2378.03,7.64,2.84,5,90.42,19.57,74.43,37.5,Drought-resistant Crops,304.07
2016,India,West Bengal,Fruits,33.05,1498.73,22.73,3.33,3,95.07,29.69,3.42,88.53,Organic Farming,813.03
2004,India,West Bengal,Rice,4.48,2624.98,13.84,1.52,6,16.63,33.73,61.9,41.17,No Adaptation,650.94
2016,India,Punjab,Corn,6.21,1738.51,12.74,1.07,8,83.82,24.74,81.07,83.02,Organic Farming,250.63
2020,India,Maharashtra,Corn,14.99,2294.61,5.2,3.57,3,43.13,30.8,14.97,58.22,Water Management,629.86
2007,India,Maharashtra,Cotton,19.88,2648.05,2.6,2.72,9,33.51,20.55,43.49,31.61,Crop Rotation,644.17
2012,India,Punjab,Cotton,17.57,1678.27,20.93,2.727,7,86.25,20.45,31.08,57.2,No Adaptation,919.61
2004,India,West Bengal,Rice,33.3,1738.18,0.74,2.21,2,86.93,3.99,9.77,57.01,Drought-resistant Crops,622.57
2006,India,Punjab,Rice,27.43,2514.62,2.73,1.24,1,45.54,38.95,1.1,52.99,No Adaptation,394.76
2010,India,Tamil Nadu,Vegetables,-1.89,1277.36,12.28,1.75,4,17.95,31.98,79.47,39.2,No Adaptation,871.47
2010,India,Tamil Nadu,Sugarcane,10.75,2076.7,27.29,2.232,1,10.9,29.96,38.94,52.07,No Adaptation,741.66
2021,India,Maharashtra,Sugarcane,21.56,695.52,7.32,3.99,3,47.44,34.72,97.13,42.63,Water Management,498.34
2015,India,Maharashtra,Wheat,2.79,1011.53,20.42,2.466,8,85.98,29.93,35.28,55.09,Drought-resistant Crops,917.95
2002,India,West Bengal,Vegetables,34.55,2220.08,8.55,1.5,3,48.2,8.35,63.16,71.73,Organic Farming,436.68
1991,India,Tamil Nadu,Soybeans,-4.51,1667.68,16.55,0.918,6,79.51,0.8,32.16,70.68,Drought-resistant Crops,422.35
2012,India,Tamil Nadu,Soybeans,2.41,1909.15,24.89,1.161,10,82.92,49.61,44.78,95.44,No Adaptation,380.76
2008,India,Tamil Nadu,Soybeans,23.69,859.5,5.34,3.8,2,89.67,12.67,99.18,62.28,Crop Rotation,789.47
2015,India,Tamil Nadu,Sugarcane,34.87,2553.85,4.56,3.78,2,11.97,10.21,22.86,58.03,Drought-resistant Crops,1410.49
2021,India,Maharashtra,Corn,14.83,2608.49,24.95,3.546,9,17.66,49.46,11.38,61.2,No Adaptation,676.55
2005,India,Maharashtra,Soybeans,-1.02,2342.85,13.32,1.85,6,90.26,29.36,89.59,53.1,Water Management,630.64
2012,India,Tamil Nadu,Sugarcane,27.79,218.65,4.9,1.206,3,30.38,37.83,15.93,40.93,Crop Rotation,573.3
1996,India,Maharashtra,Soybeans,34.72,1934.64,0.65,2.74,2,61.75,49.39,67.39,83.97,Water Management,995.94
2023,India,Maharashtra,Soybeans,13.12,464.9,14.31,2.808,9,46.12,21.11,52.59,65.67,Crop Rotation,984.62
2023,India,Punjab,Fruits,18.92,707.61,27.77,4.113,3,43.88,19.72,86.41,33.81,No Adaptation,1995.21
1993,India,West Bengal,Sugarcane,8.31,1053.67,17.43,2.124,3,30.52,2,3.01,72.59,No Adaptation,697.43
1999,India,Punjab,Barley,4.56,1394.02,1.63,0.83,5,14,17.62,19.54,41.58,Drought-resistant Crops,95.54
1998,India,West Bengal,Rice,10.2,890.36,29.59,4.014,2,69.64,5.49,33.09,46.86,Water Management,1318.09
1998,India,Punjab,Cotton,9.21,2069.31,25.42,0.846,5,77.62,40.93,11.67,48.21,Water Management,268.73
2004,India,West Bengal,Soybeans,2.08,2472.43,27.2,2.025,5,84.3,32.35,75.76,41.55,Organic Farming,764.07
2012,India,Punjab,Vegetables,-0.7,1013.37,13.2,0.64,4,26.11,19.3,98.48,89.99,Drought-resistant Crops,103.5
2004,India,Punjab,Coffee,9.23,803.5,28.67,1.827,7,65.61,29.38,40.36,33.62,Organic Farming,193.35
2021,India,Maharashtra,Soybeans,7.31,1342.22,7.05,1.66,7,40.09,8.92,27.63,91.03,No Adaptation,197.71
2018,India,Tamil Nadu,Cotton,-2.95,813.51,15.07,1.197,7,30.12,30.81,50.05,44.27,Water Management,152.04
2007,India,Maharashtra,Rice,31.84,2718.9,16.33,2.43,5,85.85,23.1,43.66,93.51,Drought-resistant Crops,470.28
2009,India,Tamil Nadu,Fruits,14.29,1993.41,25.88,1.755,10,74.08,39.84,34.6,53.04,No Adaptation,426.8
2008,India,Maharashtra,Coffee,32.59,258.97,24.19,2.592,8,49.59,2.26,88.19,57.93,No Adaptation,810.84
2019,India,West Bengal,Soybeans,15.09,733.34,19.04,3.384,3,67.27,28.38,71.49,81.59,Drought-resistant Crops,1085.57
1994,India,West Bengal,Coffee,27.85,662.48,26.76,2.988,8,38.64,5.53,97.68,34.49,No Adaptation,312.46
2007,India,Punjab,Coffee,4.7,2339.64,6.42,0.96,6,32.42,48.97,42.79,60.61,Organic Farming,225.63
2023,India,West Bengal,Corn,-3.38,1477.82,23.86,2.232,3,57.1,19.05,19.86,31.87,Drought-resistant Crops,880.4
2007,India,Maharashtra,Sugarcane,13.56,362.03,24.77,1.62,5,74.86,27.1,91.31,62.42,Drought-resistant Crops,512.53
2022,India,Maharashtra,Rice,21.66,1951.52,14.54,2.69,1,41.04,7.21,15.05,61.61,Organic Farming,794.95
2000,India,Punjab,Corn,-1.31,1343.46,4.89,0.89,0,70.54,22.36,92.03,90.36,No Adaptation,310.04
1996,India,Punjab,Rice,-3.62,2793.19,2.39,2.59,8,59.9,8.43,24.24,86.51,Water Management,334.17
1996,India,Maharashtra,Cotton,23.95,2843.4,28.01,2.574,5,27.46,3.57,96.03,84.84,Organic Farming,425.76
2012,India,Tamil Nadu,Wheat,13.19,2529.17,23.15,4.455,5,29.04,48.78,44.36,91.67,Water Management,1810.75
2011,India,West Bengal,Vegetables,7.65,1172.27,21.24,1.413,7,20.6,6.79,65.73,44.08,No Adaptation,656.05
1998,India,Punjab,Soybeans,-4.29,751.66,23.59,2.259,7,34.52,23.02,42.85,97.03,Drought-resistant Crops,326.38
2005,India,Punjab,Fruits,3.96,425.42,8.9,0.891,1,73.72,48.05,71.04,70.04,Water Management,148.32
2006,India,Maharashtra,Coffee,11.18,831.61,18.38,3.681,2,98.85,35.19,26.45,92.45,Water Management,380.32
2002,India,Punjab,Sugarcane,9.7,931.16,1.72,1.05,2,36.09,19.16,71.71,50.14,Water Management,413.42
2019,India,Maharashtra,Cotton,6.77,2682.32,24.75,1.926,4,18.36,6.73,89.58,56.44,Drought-resistant Crops,542.64
2002,India,Tamil Nadu,Vegetables,17.86,1761.12,17.56,1.422,5,71.67,47,90.64,93.08,Organic Farming,513.7
2017,India,Tamil Nadu,Wheat,16.79,1129.95,7.6,4.89,2,77.84,26.6,55.9,89.26,Water Management,2300
2024,India,Punjab,Barley,30.86,412.28,5.21,1.035,5,31.56,26.3,20.94,98.13,Drought-resistant Crops,217.2
2021,India,Tamil Nadu,Fruits,33.62,2904.03,25.67,0.972,7,23.34,3.61,80.47,80.57,Drought-resistant Crops,110.84
2017,India,Punjab,Fruits,13.99,2618.24,24.18,3.843,9,39.52,25.73,50.23,85.41,No Adaptation,1293.04
2008,India,Punjab,Rice,17.01,2538.66,15.78,3.096,1,17.15,4.75,69.86,85.42,No Adaptation,710.04
2015,India,Tamil Nadu,Wheat,32.55,2334.5,1.45,3.34,0,75.73,8.34,11.41,41.66,Water Management,1608.94
2016,India,Tamil Nadu,Vegetables,30.04,2977.32,24.46,3.249,6,10.29,41.47,56.53,82.81,Organic Farming,776.71
2002,India,Tamil Nadu,Coffee,-2.8,2268.62,18.36,2.07,10,97.81,0.09,87.22,83.75,Water Management,468.06
1992,India,West Bengal,Soybeans,13.39,1371.86,15.72,1.8,5,93.31,7.39,50.44,76.93,No Adaptation,447.98
2003,India,Tamil Nadu,Coffee,21.62,2306.46,16.43,2.781,10,80.05,29.03,30.31,74.37,Crop Rotation,1081.52
2007,India,Tamil Nadu,Vegetables,15.91,1389.79,8.11,2.97,0,36.58,17.53,45.01,73.03,Water Management,478.26
2012,India,West Bengal,Wheat,4.97,755.36,15.11,1.332,4,95.4,40.97,3.14,82.39,Organic Farming,423.6
2012,India,West Bengal,Wheat,25.79,1740.23,13.36,3.65,0,42.4,8.93,60.96,45.96,Drought-resistant Crops,1805.18
2021,India,West Bengal,Coffee,9.33,609.54,7.77,2.42,2,98.6,19.57,58.88,30.88,No Adaptation,940.08
2009,India,West Bengal,Wheat,19.96,2471.92,15.29,1.971,8,30.3,19.38,82.51,99.23,No Adaptation,814.99
2014,India,West Bengal,Fruits,34.55,1269.39,4.43,2.82,7,53.79,40.6,92.3,30.57,Organic Farming,945.08
1999,India,Tamil Nadu,Coffee,30.47,1438.59,24.72,2.799,0,86.77,47.43,49.57,47.34,Organic Farming,1095.1
2004,India,Punjab,Wheat,12.67,2063.49,27.68,2.421,4,39.3,48.64,61.05,89.42,Organic Farming,1111.91
2009,India,Punjab,Cotton,21.3,2399.86,29.97,2.205,10,28.65,5.72,63.63,97,Water Management,952.56
2007,India,Punjab,Vegetables,20.43,2846.98,25.78,2.106,2,74.9,10.83,52.47,87.35,No Adaptation,806.93
2024,India,Tamil Nadu,Corn,-3.81,1147.87,24.06,1.638,5,64.3,28.72,83.69,44.54,No Adaptation,374.09
1997,India,Punjab,Fruits,10.77,2062.57,27.27,2.727,9,66.11,36.81,57.34,51.19,Crop Rotation,827.5
2013,India,Maharashtra,Fruits,2.6,1649.59,17.96,1.305,4,23.02,6.77,85.77,92.34,Drought-resistant Crops,243.11
2011,India,West Bengal,Vegetables,8.41,329.39,13.94,0.801,8,96.82,49.88,68.82,90.22,Water Management,366.3
1990,India,Tamil Nadu,Sugarcane,9.34,2521.02,7.51,2.71,4,97.47,10.49,17.08,63.06,Drought-resistant Crops,1016.12
2013,India,Punjab,Sugarcane,34.69,2793.03,25.97,3.528,9,52.8,31.78,90.37,85.08,Organic Farming,1064.4
2022,India,Maharashtra,Rice,33.05,358.19,4.06,0.945,0,90.75,6.07,64.58,91.68,Drought-resistant Crops,292
2016,India,Tamil Nadu,Coffee,34.05,995.19,1.61,3.32,2,65.45,24.97,71.26,34.64,Drought-resistant Crops,1462.01
1991,India,Tamil Nadu,Sugarcane,33.54,581.95,28.28,1.134,5,38.25,30.95,38.33,79.09,No Adaptation,118.33
1991,India,Maharashtra,Corn,10.81,1916.32,11.59,3.51,10,79.99,28.29,97.08,42.7,Water Management,631.24
1998,India,Tamil Nadu,Corn,18.44,1737.76,2.85,1.89,4,58.77,23.14,9.22,34.69,Crop Rotation,552.71
2004,India,Maharashtra,Fruits,-0.9,1254.29,5.3,1.32,2,80.21,2.06,65.65,47.54,Crop Rotation,309.68
1999,India,Punjab,Barley,7.95,975.09,17.21,2.295,4,79.34,20.86,0.32,86.15,Organic Farming,539.01
2014,India,Punjab,Wheat,-3.82,2641.91,18.44,1.656,7,71.71,18.89,7.64,54.37,Organic Farming,712.64
2012,India,Maharashtra,Sugarcane,0.16,2043.05,12.28,2.17,8,20.63,11.78,84.4,30.64,No Adaptation,865.02
2007,India,Maharashtra,Rice,7.71,2253.64,21.42,0.792,7,65.1,2.29,32.61,37.72,Crop Rotation,85.54
2004,India,Tamil Nadu,Cotton,2.81,2053.48,8.02,1.11,9,32.68,44.46,25.92,94.38,No Adaptation,391.89
1999,India,Punjab,Fruits,7.1,2216.55,29.56,0.639,2,24.72,49.5,76.89,62.47,Drought-resistant Crops,109.02
2012,India,Punjab,Sugarcane,19.66,2425.38,5.08,2.52,3,18.39,25.04,57.97,88.5,Water Management,739.54
2022,India,Punjab,Corn,18.23,1656.43,9.59,3.38,0,49.75,1.89,64.81,70.04,Water Management,557.39
1990,India,Maharashtra,Fruits,22.9,1756.22,23.26,2.889,7,41.63,22.73,71.64,49.61,Water Management,796.33
2022,India,Tamil Nadu,Sugarcane,13.18,2250.7,11.26,4.74,5,78.64,39.29,98.91,85.41,Crop Rotation,1956.87
2009,India,Tamil Nadu,Coffee,12.81,1328.15,15.07,2.313,8,47.52,4.35,27.79,81.17,No Adaptation,879.03
2002,India,Tamil Nadu,Rice,22.83,1230.77,4.78,3.63,6,18.26,4.7,3.97,95.22,Water Management,1432.27
2010,India,West Bengal,Vegetables,32.1,1536.2,14.15,2.96,2,84.87,2.87,81.3,51.72,Crop Rotation,928.92
2019,India,Tamil Nadu,Corn,31.85,2926.57,2.37,0.87,1,80.31,24.85,34.88,92.93,Drought-resistant Crops,328.94
2024,India,West Bengal,Vegetables,11.51,1465.54,23.59,2.178,5,66.11,46.54,32.3,85.14,Drought-resistant Crops,623.51
2010,India,Tamil Nadu,Rice,13.15,378.61,21.62,1.809,8,75.14,12.84,67.63,81.61,Drought-resistant Crops,697.56
2023,India,Maharashtra,Rice,3.27,1515.58,29.58,0.486,5,44.78,10.06,84.73,91.81,Organic Farming,180.92
2007,India,Punjab,Sugarcane,11.75,1386.34,11.98,3.66,1,58.79,47.69,31.49,49.28,No Adaptation,1013.2
2016,India,Maharashtra,Cotton,24.76,543.34,22.11,2.556,6,62.19,12.71,92.91,66.86,Organic Farming,1008.18
2004,India,Tamil Nadu,Rice,17.69,558.69,4.27,4.56,2,33.13,25.08,86.15,57.34,Crop Rotation,2187.88
1997,India,West Bengal,Coffee,9.8,1417.87,15.15,2.034,1,67.85,20.2,10.19,54.91,Organic Farming,614.98
1996,India,Punjab,Coffee,15.25,770.23,6.13,3.2,10,48.84,44.5,68.84,54.57,Drought-resistant Crops,502.65
2001,India,Punjab,Sugarcane,25.74,633.86,19.42,2.475,0,26.58,30.06,46.6,48.65,No Adaptation,964.81
2020,India,Punjab,Fruits,16.53,2637.1,0.81,4.96,7,87.71,30.57,44.76,65.7,Crop Rotation,1885.29
2005,India,Maharashtra,Barley,-0.68,2244.61,18.1,2.412,9,51.33,12.22,82.55,91.23,Water Management,977.6
2022,India,Punjab,Sugarcane,6.59,2954.9,6.42,0.54,2,24.25,0.29,24.06,67.58,Crop Rotation,252.03
2017,India,Maharashtra,Sugarcane,-2.21,2952.47,19.04,1.206,7,24.3,4.24,31.89,49.98,Organic Farming,547.97
2012,India,West Bengal,Wheat,21.71,1475.08,3.92,1.18,1,56.1,32.45,39.35,84.68,Drought-resistant Crops,466.2
2012,India,Maharashtra,Soybeans,33.25,1439.94,23.9,2.304,3,35.69,13.25,33.21,70.15,Water Management,237.99
2008,India,Tamil Nadu,Corn,14.26,1295.02,10.02,2.84,0,35.72,31.23,78.57,87.61,Crop Rotation,318.91
1992,India,Maharashtra,Coffee,26.48,666.28,7.7,3.57,7,70.26,13.26,85.57,87.14,Water Management,1013.13
1998,India,West Bengal,Coffee,26.07,2990.84,26.89,2.817,9,28.2,47.11,71.79,32.57,Organic Farming,1061.75
2003,India,Maharashtra,Soybeans,5.75,1272.74,17.26,0.612,4,17.5,25.83,19.1,67.06,Water Management,237.79
2004,India,Maharashtra,Sugarcane,30.82,1874.77,28.65,2.799,4,86.38,4.53,69.39,32.6,Drought-resistant Crops,1340.01
2005,India,West Bengal,Cotton,26.59,1859.71,23.63,0.972,1,69.86,31.2,65.33,41.27,Water Management,366.56
2021,India,West Bengal,Soybeans,31.96,2897.46,13.61,1.51,3,84.67,37.65,39.35,86.53,No Adaptation,265.64
2015,India,Tamil Nadu,Cotton,3.83,623.97,8.11,0.89,4,47.28,37.52,32.43,39.93,No Adaptation,131.22
2024,India,Maharashtra,Soybeans,27.26,1251,27.8,3.042,10,62.6,48.7,15.88,57.1,Organic Farming,906.55
2022,India,Tamil Nadu,Wheat,29.5,2034.73,27.44,3.204,1,25.14,23.04,13.31,36.56,Crop Rotation,1179.14
2019,India,Tamil Nadu,Cotton,12.18,227.76,4.19,3.114,8,37.17,6.28,16.54,94.1,No Adaptation,1011.39
1994,India,Punjab,Fruits,5.01,251.54,9.11,2.628,2,15.15,33.11,15.21,85.13,No Adaptation,1204.43
2012,India,Punjab,Soybeans,13.69,2203.23,27.52,1.746,7,22.55,35.37,80.23,40.93,Water Management,571.03
2004,India,Maharashtra,Fruits,14.86,1303.9,15.77,4.428,8,80.48,8.68,60.95,71.07,Drought-resistant Crops,853.04
2005,India,West Bengal,Cotton,12.43,2532.57,15.5,1.755,2,77.33,23.05,55.09,83.91,Water Management,729.26
1995,India,Punjab,Vegetables,18.11,2146.93,4.63,4.95,8,74.77,16.92,91.05,43.62,Drought-resistant Crops,964.57
2023,India,West Bengal,Fruits,34.1,2200.55,15.22,0.873,1,11.45,38.54,87.89,54.17,Drought-resistant Crops,425.75
2014,India,West Bengal,Rice,21.4,2359.01,5.3,2.11,2,47.33,42,32.14,94.37,Crop Rotation,693.24
1994,India,Maharashtra,Sugarcane,6.12,1485.54,6.62,2.16,2,61.54,28.97,93.43,53.42,No Adaptation,931.21
2009,India,Punjab,Wheat,12.76,1484.64,5.68,2.37,6,19.87,20.36,49.42,90.06,No Adaptation,259.62
1995,India,West Bengal,Wheat,-2.16,498.82,3.46,2.25,2,34.96,47.18,48.95,60.61,No Adaptation,1041.54
2007,India,Tamil Nadu,Cotton,21.27,1595.73,20.05,1.593,0,33.34,48.33,75.45,45.54,Water Management,658.09
2005,India,Tamil Nadu,Vegetables,24.99,1257.46,6.82,3.2,6,29.88,9.41,25.72,88.86,Crop Rotation,449.7
2021,India,Punjab,Soybeans,3.4,1549.26,19.27,1.305,7,78.1,49.88,55.36,75.73,No Adaptation,346.15
1998,India,Maharashtra,Soybeans,16.44,1840.5,29.06,2.457,7,17.87,15.77,34.56,56.78,Organic Farming,774.42
2011,India,Punjab,Coffee,0.65,1254.22,23.76,2.106,3,25.12,4.55,63.66,32.5,No Adaptation,1035.98
2000,India,Punjab,Sugarcane,20.1,1958.95,7.77,2.57,10,68.85,18.28,61.19,50.63,Crop Rotation,1098.65
2021,India,Punjab,Cotton,-3.75,894.1,16.44,0.936,10,82.81,10.69,37.24,90.18,Drought-resistant Crops,179.21
2024,India,Tamil Nadu,Soybeans,-1.05,1361.43,18.47,0.765,0,67.99,43.64,51.56,81.05,Water Management,146.53
2002,India,West Bengal,Barley,-1.87,1984.54,14.79,2.24,10,36.03,10.34,53.32,40.03,Drought-resistant Crops,672.43
2010,India,West Bengal,Vegetables,32.19,952.65,4.34,3.37,7,94.3,22.23,84.73,72.65,Drought-resistant Crops,601.88
